period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features “deployed” válidas,Número de features “deployed”,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº  de vulnerabilidades “high”,Nº de Lineas de código ,Nº de vulnerabilidades “high” en el mes anterior,Líneas de código en el mes anterior,Fichas RFO con status OK,SN2 con Dependencias asignadas,Calidad de Features,Cumpliminto objetivo adopción del Op. Model, Evolución de vulnerabilidades,Peso - Fichas RFO con status OK,Peso - SN2 con Dependencias asignadas, Peso - Calidad de Features,Peso - Cumpliminto objetivo adopción del Op. Model,Peso -  Evolución de vulnerabilidades,Distribución pesos si no aplica indicador,% Adopción total,Está certificado? (>= 70%),Nivel de Certificación
mar 25,ARGENTINA,INGENIERÍA & DATA,ALPHA ARCHITECTURE,3572,ALPHA,1,1,1,1,80,81,"1,0",1,"0,0000","0,0000","0,0000",0,54.722,0,54.241,"100,00%","100,00%","98,77%","100,00%","100,00%","0,1300","0,1300","0,1975","0,2700","0,2700","1,0000",100%,1,Level 3
mar 25,ARGENTINA,INGENIERÍA & DATA,DATAHUB ARGENTINA,4343,DATIO-AR RIESGOS Y FINANZAS,1,1,1,1,16,20,"0,0",1,"0,0000","0,0000","0,0000",0,227.906,0,226.363,"100,00%","100,00%","80,00%","0,00%","100,00%","0,1300","0,1300","0,1600","0,0000","0,2700","1,0000",69%,0,Not certified
mar 25,ARGENTINA,INGENIERÍA & DATA,DATAHUB ARGENTINA,4344,DATIO-AR MODELOS LOCALES,1,1,1,1,21,21,"1,0",1,"0,0000","0,0000","0,0000",0,533.864,0,531.235,"100,00%","100,00%","100,00%","100,00%","100,00%","0,1300","0,1300","0,2000","0,2700","0,2700","1,0000",100%,1,Level 3
mar 25,ARGENTINA,INGENIERÍA & DATA,DATAHUB ARGENTINA,4345,DATIO-AR MODELOS GLOBALES,1,1,1,1,125,125,"1,0",1,"0,0000","0,0000","0,0000",0,166.159,0,157.653,"100,00%","100,00%","100,00%","100,00%","100,00%","0,1300","0,1300","0,2000","0,2700","0,2700","1,0000",100%,1,Level 3
mar 25,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,416,PA02 MERCHANTS-ACQUIRING / COMERCIOS-ADQUIRENCIA,4,4,4,4,4,4,"2,0",4,"0,0184","0,0187","-1,9524",4,217.933,4,213.678,"100,00%","100,00%","100,00%","50,00%","75,00%","0,1300","0,1300","0,2000","0,1350","0,2025","1,0000",80%,1,Level 1
mar 25,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,4851,PA04 BBVA ADQUIRENTE - CICLO DE VIDA COMERCIOS,3,3,3,3,13,13,"0,0",1,"0,0000","0,0000","0,0000",0,30.069,0,30.059,"100,00%","100,00%","100,00%","0,00%","100,00%","0,1300","0,1300","0,2000","0,0000","0,2700","1,0000",73%,1,Level 1
mar 25,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,4853,PA03 PSP - MERCURIO,1,1,1,1,6,6,"0,0",1,"0,0000","0,0000","0,0000",0,32.793,0,32.590,"100,00%","100,00%","100,00%","0,00%","100,00%","0,1300","0,1300","0,2000","0,0000","0,2700","1,0000",73%,1,Level 1
mar 25,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,5297,PA05 BBVA ADQUIRENTE - TRANSACCIONALIDAD,2,2,2,2,5,5,"1,0",2,"0,0000","0,0000","0,0000",0,6.070,0,6.070,"100,00%","100,00%","100,00%","50,00%","100,00%","0,1300","0,1300","0,2000","0,1350","0,2700","1,0000",87%,1,Level 2
mar 25,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,379,AR02 ENTERPRISE WEB CORE,2,1,2,2,0,0,"0,0",0,"0,0000","0,0000","0,0000",0,0,0,0,"50,00%","100,00%",-,-,-,"0,0650","0,1300",-,-,-,"0,2600",75%,1,Level 1
mar 25,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,381,EB02 ENTERPRISE MOBILE / MOVILES EMPRESAS,1,1,0,1,0,0,"0,0",0,"0,0000","-99,0000","0,0000",0,360.221,0,0,"100,00%","0,00%",-,-,"100,00%","0,1300","0,0000",-,-,"0,2700","0,5300",75%,1,Level 1
